Date,Price,Open,High,Low
1/3/2022,478.9,480,481,478.5
1/4/2022,479,479.9,483.6,478.2
1/5/2022,480,482.5,484.25,481.05
1/6/2022,480,483,484.25,482.13
1/7/2022,481.5,483,484.58,481.85
1/10/2022,479.5,482.69,484.53,480.85
1/11/2022,479.5,482.75,484.33,481.41
1/12/2022,480.49,482.75,484.16,480.2
1/13/2022,479.5,481.49,483.25,480.27
1/14/2022,479.87,482.75,482.94,480.25
1/17/2022,479.87,480.87,482.44,479.94
1/18/2022,480.52,480.87,482.46,479.05
1/19/2022,480.65,481.52,482.23,480.06
1/20/2022,480.66,481.65,482.33,480.15
1/21/2022,479.5,481.66,483.56,480.08
1/24/2022,480.63,482.12,483.56,479.82
1/25/2022,481.26,481.63,483.13,479.8
1/26/2022,481.47,482.26,483.89,481.38
1/27/2022,480,482.75,483.79,481.19
1/28/2022,480,483,483.79,481.78
1/31/2022,480,483,483.89,481.23
2/1/2022,480,483,484.19,481.89
2/2/2022,480.25,483,484.49,481.76
2/3/2022,480,483.13,484.26,481.65
2/4/2022,480.62,483,485.1,480.81
2/7/2022,479.5,481.62,483.31,480.88
2/8/2022,476.5,482.75,483.13,478.8
2/9/2022,478.11,479.75,481.55,478.31
2/10/2022,478.04,479.11,480.96,478.52
2/11/2022,477,479.04,480.77,478.47
2/14/2022,477,478.94,480.47,477.94
2/15/2022,477.5,480,480.65,478.18
2/16/2022,477.5,479.9,480.75,478.47
2/17/2022,477,480.25,480.57,477.14
2/18/2022,477,480,480.5,477.14
2/21/2022,477,479,480.5,478.5
2/22/2022,476,480,483,477.72
2/23/2022,476.5,479.5,480.39,477.72
2/24/2022,477,479.75,480.89,477.39
2/25/2022,480,480,482.56,477.94
2/28/2022,479.5,482.11,483.92,478.8
3/1/2022,484.5,481.25,487.5,479.4
3/2/2022,487.5,487.25,491.5,482.1
3/3/2022,495.5,491.25,497.75,482.4
3/4/2022,502.08,497.75,504.54,496.48
3/7/2022,509.18,503.08,510.18,502.54
3/8/2022,509.18,510.18,510.59,509.59
3/9/2022,511.41,510.18,513.21,509.39
3/10/2022,515.01,512.41,519.4,511.05
3/11/2022,517.28,516.01,518.64,516.01
3/14/2022,513.97,518.28,518.89,512.5
3/15/2022,506.94,514.97,515.14,503.65
3/16/2022,498.04,507.94,507.94,498.52
3/17/2022,485,499.04,499.04,488.35
3/18/2022,487.6,499,499,487.55
3/21/2022,487.77,488.6,489.94,487.65
3/22/2022,487.86,488.77,489.68,487.44
3/23/2022,488.15,488.86,490.08,487.43
3/24/2022,488.15,489.15,490.08,487.58
3/25/2022,489.3,489.15,490.65,487.78
3/28/2022,489.37,490.3,490.69,487.9
3/29/2022,489.4,490.37,491.2,488.1
3/30/2022,486.77,490.4,491.7,487.39
3/31/2022,484.91,487.77,490,483.4
4/1/2022,483.78,485.91,485.91,482.4
4/4/2022,482.15,484.78,484.78,481.53
4/5/2022,480.59,483.15,483.58,480.29
4/6/2022,478.38,481.59,481.59,477.59
4/7/2022,475.92,479.38,480.19,476.31
4/8/2022,474.69,476.92,478.46,474.85
4/11/2022,473.84,475.69,476,472.92
4/12/2022,472.13,474.84,475.42,472.32
4/13/2022,471.43,473.13,474.32,471.72
4/14/2022,470.51,472.43,474.32,470.76
4/15/2022,470.51,471.51,473.76,471.26
4/18/2022,470.35,471.51,473.36,470.68
4/19/2022,469.83,471.35,473.23,470.42
4/20/2022,468.21,470.83,471.77,468.11
4/21/2022,466.77,469.21,471.4,467.39
4/22/2022,466.28,467.77,470.5,467.14
4/25/2022,465.52,467.28,468.59,465.76
4/26/2022,462.12,466.52,466.52,461.91
4/27/2022,458.98,463.12,463.86,458.99
4/28/2022,455.67,459.98,461.99,456.67
4/29/2022,452.26,456.67,456.67,451.63
5/2/2022,448.65,453.26,454.63,449.65
5/3/2022,449.79,449.5,453.85,448.83
5/4/2022,453.63,450.79,454.92,450.79
5/5/2022,463.49,454.63,465.25,454.63
5/6/2022,459,464.49,465.75,462.25
5/9/2022,473.35,474.35,474.35,474.35
5/10/2022,471.64,474.35,474.35,471.82
5/11/2022,465.87,472.64,472.64,466.44
5/12/2022,459.13,466.87,467.44,459.57
5/13/2022,454.94,460.13,462.07,450.8
5/16/2022,453.99,455.94,456.17,452
5/17/2022,453.86,454.99,456.5,453.43
5/18/2022,456.49,454.86,458.25,453.93
5/19/2022,458.4,457.49,461.15,454.7
5/20/2022,456,459.4,461.15,457.99
5/23/2022,454.73,458.98,458.98,453.87
5/24/2022,451.7,455.73,455.73,451.85
5/25/2022,449.71,452.7,456.1,449.86
5/26/2022,446.17,450.71,456.3,446.59
5/27/2022,447.18,447.17,456.6,447.17
5/30/2022,447.18,448.18,448.18,448.18
5/31/2022,447.18,448.18,456.8,448.18
6/1/2022,444.64,448.18,448.29,444.32
6/2/2022,444.64,445.64,446.82,444.5
6/3/2022,439.15,445.64,447.12,439.58
6/6/2022,436.62,440.15,442.75,437.62
6/7/2022,432.87,437.62,442.1,433.87
6/8/2022,429.79,433.87,442.5,430.79
6/9/2022,425.85,430.79,430.9,426.85
6/10/2022,420.95,426.85,426.93,421.95
6/13/2022,417.64,421.95,423.48,418.64
6/14/2022,418.63,418.64,422.9,418.64
6/15/2022,423.42,419.63,424.71,419.32
6/16/2022,423.42,424.42,424.71,421.8
6/17/2022,424.3,424.42,425.3,422.21
6/20/2022,424.3,425.3,425.3,420.1
6/21/2022,416.01,425.3,425.3,417.01
6/22/2022,411.62,417.01,420.85,412.62
6/23/2022,409.82,412.62,412.62,409.91
6/24/2022,407.56,410.82,420.5,407.78
6/27/2022,416,408.56,420.95,408.56
6/28/2022,407.39,408.8,409.7,407.35
6/29/2022,407.39,408.39,409.35,407.15
6/30/2022,406.21,408.39,409.04,406.05
7/1/2022,406.95,407.21,407.95,405
7/4/2022,406.95,407.95,407.95,405.2
7/5/2022,406.52,407.95,407.95,407.52
7/6/2022,407.2,407.52,408.2,402.7
7/7/2022,408.38,408.2,409.74,402.7
7/8/2022,409.67,409.38,410.67,406.9
7/11/2022,409.96,410.65,412.23,409.63
7/12/2022,409.96,410.96,410.96,410.96
7/13/2022,410.84,410.96,412.32,409.48
7/14/2022,411.63,411.84,414.07,411.22
7/15/2022,412.42,412.63,414.61,411.87
7/18/2022,414.05,413.42,415.88,412.61
7/19/2022,414.35,415.05,416.53,413.68
7/20/2022,414.6,415.35,418.6,415.35
7/21/2022,413.84,415.6,418.2,413.22
7/22/2022,412.1,414.84,414.97,410.5
7/25/2022,410.32,413.1,413.1,408.9
7/26/2022,408.28,411.32,411.32,407.2
7/27/2022,406.85,409.28,409.39,406.08
7/28/2022,405.69,407.85,408.08,404.85
7/29/2022,406.71,406.69,408.36,404.35
8/1/2022,406,407.71,408.36,405.27
8/2/2022,405.97,407.53,408.27,405.54
8/3/2022,405.45,406.97,407.99,405.01
8/4/2022,404.82,406.45,407.73,404.71
8/5/2022,405.14,405.82,407.57,404.71
8/8/2022,405.61,406.14,407.81,404.97
8/9/2022,405.28,406.61,407.81,405.09
8/10/2022,404.78,406.28,407.24,404.89
8/11/2022,405.09,405.78,407.29,404.79
8/12/2022,404.91,406.09,407.04,404.31
8/15/2022,405.19,405.91,407.1,403.9
8/16/2022,405.09,406.19,406.19,403.3
8/17/2022,404.96,406.09,406.54,403.5
8/18/2022,404.79,405.96,406.48,403.4
8/19/2022,404.15,405.79,406.4,402.5
8/22/2022,404.46,405.15,406.23,401.9
8/23/2022,403.93,405.46,406.23,402.97
8/24/2022,403.87,404.93,405.97,401.2
8/25/2022,403.94,404.87,405.62,403.24
8/26/2022,403.82,404.94,405.87,402.75
8/29/2022,404.12,404.82,406.06,402.5
8/30/2022,403.77,405.12,406.06,402.89
8/31/2022,403.56,404.77,405.64,402.78
9/1/2022,403.74,404.56,405.57,403.18
9/2/2022,403.59,404.74,405.47,403.1
9/5/2022,400.3,404.59,405,402.7
9/6/2022,403.8,404.59,405.4,402.75
9/7/2022,403.9,404.8,406.1,402.9
9/8/2022,402,404.9,406.71,403.95
9/9/2022,404.32,405.11,407.21,404.06
9/12/2022,404.32,405.32,405.66,404
9/13/2022,404.71,405.32,407.9,404
9/14/2022,404.7,405.71,406.86,403
9/15/2022,410.14,405.7,415.47,404.15
9/16/2022,411.05,411.14,417.49,411.07
9/19/2022,411.43,415.53,419.15,413.99
9/20/2022,413.5,415.72,419.15,415.18
9/21/2022,411.43,416.75,419,415.18
9/22/2022,411.93,415.72,418.52,414.72
9/23/2022,415.27,415.97,418.52,414.14
9/26/2022,412.05,416.27,416.64,412.18
