date,Gross_Profit,Revenue,Net_Income,EPS
2024-12-31,58275000000,124300000000,36330000000,2.4
2024-09-30,43879000000,94930000000,14736000000,1.64
2024-06-30,39678000000,85777000000,21448000000,1.4
2024-03-31,42271000000,90753000000,23636000000,1.53
2023-12-31,54855000000,119575000000,33916000000,2.18
2023-09-30,40427000000,88496000000,22956000000,1.46
2023-06-30,36413000000,80799000000,19881000000,1.26
2023-03-31,41976000000,94836000000,24160000000,1.52
2022-12-31,50332000000,116151000000,29998000000,1.88
2022-09-30,38095000000,89319000000,20721000000,1.29
2022-06-30,35885000000,82240000000,19442000000,1.2
2022-03-31,42559000000,96587000000,25010000000,1.52
2021-12-31,54243000000,123251000000,34630000000,2.1
2021-09-30,35174000000,82688000000,20551000000,1.24
2021-06-30,35255000000,80769000000,21744000000,1.3
2021-03-31,38079000000,88914000000,23630000000,1.4
2020-12-31,44328000000,110801000000,28755000000,1.68
2020-09-30,24689000000,64698000000,12673000000,0.73
2020-06-30,22680000000,58988000000,11253000000,0.65
2020-03-31,22370000000,57556000000,11249000000,0.64
2019-12-31,35217000000,91034000000,22236000000,1.25
2019-09-30,24313000000,64040000000,13686000000,0.76
2019-06-30,20227000000,52943000000,10044000000,0.55
2019-03-31,21821000000,57005000000,11561000000,0.62
2018-12-31,32031000000,83420000000,19965000000,1.05
2018-09-30,24084000000,62900000000,14125000000,0.73
2018-06-30,20421000000,53265000000,11519000000,0.585
2018-03-31,23422000000,61137000000,13822000000,0.6825
2017-12-31,33912000000,88293000000,20065000000,0.9725
2017-09-30,19931000000,52579000000,10714000000,0.5175
2017-06-30,17488000000,45408000000,8717000000,0.4175
2017-03-31,20591000000,52896000000,11029000000,0.525
2016-12-31,30176000000,78351000000,17891000000,0.84
2016-09-30,17813000000,47858000000,9014000000,0.4175
2016-06-30,16106000000,41949000000,7796000000,0.355
2016-03-31,19921000000,50236000000,10516000000,0.475
2015-12-31,30423000000,75596000000,18361000000,0.82
2015-09-30,20548000000,51501000000,11124000000,0.49
2015-06-30,19681000000,49404000000,10677000000,0.4625
2015-03-31,23656000000,57847000000,13569000000,0.5825
2014-12-31,29741000000,74468000000,18024000000,0.765
2014-09-30,16009000000,42123000000,8467000000,0.355
2014-06-30,14735000000,37332000000,7748000000,0.32
2014-03-31,17947000000,45561000000,10223000000,0.415
2013-12-31,21846000000,57510000000,13072000000,0.5175
2013-09-30,13871000000,37472000000,7512000000,0.295
2013-06-30,13024000000,35270000000,6900000000,0.2675
2013-03-31,16349000000,43603000000,9547000000,0.36
2012-12-31,21060000000,54512000000,13078000000,0.4925
2012-09-30,14401000000,35966000000,8223000000,0.31
2012-06-30,14994000000,35023000000,8824000000,0.3325
2012-03-31,18564000000,39186000000,11622000000,0.44
2011-12-31,20703000000,46333000000,13064000000,0.495
2011-09-30,11380000000,28270000000,6623000000,0.2525
2011-06-30,11922000000,28571000000,7308000000,0.2775
2011-03-31,10218000000,24708000000,5987000000,0.2275
2010-12-31,10298000000,26741000000,6004000000,0.23
2010-09-30,7512000000,20343000000,4308000000,0.165
2010-06-30,6136000000,15700000000,3253000000,0.125
2010-03-31,5625000000,13499000000,3074000000,0.12
