Date,mean_sentiment,p_sum,news_count
12/13/2023,0.154064688,2.465035,16
12/14/2023,0.181313429,6.34597,35
12/15/2023,0.217320407,5.867651,27
12/18/2023,0.190621207,5.528015,29
12/19/2023,0.159046256,6.202804,39
12/20/2023,0.181415926,4.89823,27
12/21/2023,0.189726763,7.209617,38
12/22/2023,0.168854,5.06562,30
12/25/2023,0.1975132,0.987566,5
12/26/2023,0.12869516,3.217379,25
12/27/2023,0.147215947,5.594206,38
12/28/2023,0.185910839,5.763236,31
12/29/2023,0.200151138,5.804383,29
1/1/2024,0.149165167,0.894991,6
1/2/2024,0.143325629,5.016397,35
1/3/2024,0.13892186,5.97364,43
1/4/2024,0.136204694,4.903369,36
1/5/2024,0.153925143,6.464856,42
1/8/2024,0.201072119,8.445029,42
1/9/2024,0.162937682,3.584629,22
1/10/2024,0.179367548,5.560394,31
1/11/2024,0.065313,0.130626,2
1/12/2024,0.161328789,3.065247,19
1/15/2024,0.177628619,3.730201,21
1/16/2024,0.144082583,5.186973,36
1/17/2024,0.17320961,7.101594,41
1/18/2024,0.149866767,6.444271,43
1/19/2024,0.149711949,5.838766,39
1/22/2024,0.198254786,8.326701,42
1/23/2024,0.195827514,7.245618,37
1/24/2024,0.177659,6.751042,38
1/25/2024,0.174986,6.474482,37
1/26/2024,0.188696903,5.849604,31
1/29/2024,0.162912019,8.471425,52
1/30/2024,0.170603818,5.629926,33
1/31/2024,0.156479618,5.320307,34
2/1/2024,0.147008574,7.938463,54
2/2/2024,0.15987672,7.993836,50
2/5/2024,0.190752667,7.439354,39
2/6/2024,0.2165285,5.629741,26
2/7/2024,0.170700722,6.145226,36
2/8/2024,0.172757714,6.04652,35
2/9/2024,0.185065125,5.922084,32
2/12/2024,0.177096609,4.073222,23
2/13/2024,0.136104037,3.674809,27
2/14/2024,0.154634913,3.556603,23
2/15/2024,0.150941682,3.320717,22
2/16/2024,0.147718417,3.545242,24
2/19/2024,0.231823059,3.940992,17
2/20/2024,0.189785208,4.554845,24
2/21/2024,0.151983,4.711473,31
2/22/2024,0.190039857,2.660558,14
2/23/2024,0.191144394,6.307765,33
2/26/2024,0.184271816,7.002329,38
2/27/2024,0.17906725,4.297614,24
2/28/2024,0.159284556,7.167805,45
2/29/2024,0.157111889,2.828014,18
3/1/2024,0.205516639,7.398599,36
