Date,Price,Open,High,Low
1/1/2010,540.09,537.19,540.24,536.96
1/4/2010,543.315,537.11,545.035,534.56
1/5/2010,541.655,540.26,546.005,537.94
1/6/2010,543.275,538.61,544.215,535.57
1/7/2010,540.015,540.23,544.675,536.1
1/8/2010,543.465,536.92,544.365,534.79
1/11/2010,548.11,541.13,550.39,540.23
1/12/2010,547.015,545.69,549.275,543.4
1/13/2010,548.115,544.52,550.785,543.47
1/14/2010,547.335,546.3,550.215,543.13
1/15/2010,542.13,545.24,547.16,539
1/18/2010,542.525,539.11,543.715,538.88
1/19/2010,539.545,540.76,544.395,535.76
1/20/2010,531.665,537.34,538.955,529.33
1/21/2010,532.42,530.27,534.3,528.39
1/22/2010,534.26,530.89,535.92,530.25
1/25/2010,535.355,533.44,537.015,532.39
1/26/2010,531.87,533.34,536.35,528.61
1/27/2010,528.26,529.81,532.48,525.4
1/28/2010,526.395,526.45,529.475,523.26
1/29/2010,522.055,524.57,526.765,519.79
2/1/2010,524.785,519.83,524.785,519.38
2/2/2010,525.455,523,525.785,521.34
2/3/2010,525.38,524.24,529.8,523.56
2/4/2010,519.585,523.58,525.535,518.12
2/5/2010,516.48,518.19,520.37,512.08
2/8/2010,517.41,515.1,519.45,513.47
2/9/2010,522.225,515.21,524.565,514.95
2/10/2010,522.37,521.34,525.71,518.28
2/11/2010,520.62,520.4,525.68,515.17
2/12/2010,519.07,518.96,521.43,513.65
2/15/2010,518.2,517.26,519.49,515.93
2/16/2010,525.61,516.69,526.03,516.31
2/17/2010,518.75,523.72,526.43,516.19
2/18/2010,519.66,516.91,521.26,515.09
2/19/2010,520.91,515.45,520.91,512.14
2/22/2010,520.18,520.14,522.28,517.7
2/23/2010,516.115,518.46,523.395,514.8
2/24/2010,519.03,515.37,522.62,515.03
2/25/2010,520.59,517.68,521.2,514.06
2/26/2010,523.215,518.85,525.785,518.16
3/1/2010,522.34,521.8,526.18,516.79
3/2/2010,524.95,520.55,525.49,516.54
