Date,Price,Open,High,Low,,
1/1/2010,375,377,377,377,,
1/4/2010,375,377,377,377,,
1/5/2010,375,377,377,377,,
1/6/2010,375,375,375,375,,
1/7/2010,375,377,377,377,,
1/8/2010,375,377,377,377,,
1/11/2010,376,379.5,379.5,377,,
1/12/2010,376,377.5,377.5,377.5,,
1/13/2010,376.5,378.13,378.13,377.5,,
1/14/2010,376,377.5,377.75,377.25,,
1/15/2010,376,377.75,377.75,377,,
1/18/2010,376,377.5,377.63,377,,
1/19/2010,376,377.5,377.5,377.25,,
1/20/2010,376,377.63,377.63,377,,
1/21/2010,377,377.5,377.88,377.5,,
1/22/2010,376.75,378,378,377.88,,
1/25/2010,377,378.25,378.25,377.88,,
1/26/2010,376.5,378.13,378.13,377.75,,
1/27/2010,375.5,377.5,377.75,376.75,,
1/28/2010,375.5,376.75,376.75,376.75,,
1/29/2010,375,376.5,376.75,376.25,,
2/1/2010,375.5,376.63,376.75,376.25,,
2/2/2010,375.5,376,376.25,376,,
2/3/2010,377,376.5,378,376.25,,
2/4/2010,377.5,378.25,378.75,378,,
2/5/2010,377,377.75,378.5,377.75,,
2/8/2010,377.5,378.13,378.75,378,,
2/9/2010,378,379,379,378.75,,
2/10/2010,379,379.5,380.5,379,,
2/11/2010,379,380.5,381.75,379.75,,
2/12/2010,380,381,381.25,380.75,,
2/15/2010,380,381,381.25,381,,
2/16/2010,380.5,382,382,381.5,,
2/17/2010,380,381.5,381.5,381.25,,
2/18/2010,381,381.5,382,381.5,,
2/19/2010,381.5,382.5,382.5,382.5,,
2/22/2010,381.5,382.25,382.5,382.25,,
2/23/2010,381.5,382.25,382.5,382.25,,
2/24/2010,382.5,382.25,383.5,382.25,,
2/25/2010,383,383.5,384,383.25,,
2/26/2010,383,384.25,384.75,384,,
3/1/2010,384,384,385.75,384,,
3/2/2010,384.5,385.5,385.75,385.5,,
3/3/2010,384.5,385.25,386.25,385.25,,
3/4/2010,386,386.25,387,385.75,,
3/5/2010,387.5,387.25,389,387,,
3/8/2010,387.5,388.5,388.5,388.5,,
3/9/2010,388,389.5,389.75,388.5,,
3/10/2010,389.5,390.25,391.25,389.5,,
3/11/2010,390.5,391,392.25,391,,
3/12/2010,393.5,392.5,395.75,392.5,,
3/15/2010,394.5,394.75,396.25,394.5,,
3/16/2010,396,396,397.5,396,,
3/17/2010,402,398.5,405.5,398.5,,
3/18/2010,404,404.5,407,404.5,,
3/19/2010,400.5,404.5,404.5,402.75,,
3/22/2010,394,402,403,398,,
3/23/2010,393,399,399.5,395,,
3/24/2010,390,394,395,391.25,,
3/25/2010,392,393,395,392,,
3/26/2010,394.5,395.25,396.5,394,,
3/29/2010,395.5,397,398.13,396.25,,
3/30/2010,400,398,402.5,397.5,,
3/31/2010,398,402,403,399.5,,
4/1/2010,400.5,399.75,403,399.5,,
4/2/2010,400.5,402.5,402.5,401.75,,
4/5/2010,400.5,402,402,402,,
4/6/2010,398.5,401.25,401.5,399.75,,
4/7/2010,398,399.75,399.75,399,,
4/8/2010,394.5,398.5,399,395,,
4/9/2010,391.5,396.75,396.75,393.5,,
4/12/2010,396,397.25,398,394,,
4/13/2010,393,397.5,397.5,395.5,,
4/14/2010,390,396,396.5,392.5,,
4/15/2010,391,394.5,394.5,393,,
4/16/2010,391,393.5,394.5,392.5,,
4/19/2010,393.5,395,395.25,393.5,,
4/20/2010,391.5,394.75,395.5,393,,
4/21/2010,385,393,393.75,389,,
4/22/2010,387,389.5,391.5,388.5,,
4/23/2010,388,389.5,390.75,389.25,,
4/26/2010,386,390,390.25,388,,
4/27/2010,383,384.5,388.5,384.5,,
4/28/2010,383.5,386,386,385,,
4/29/2010,383.5,385.75,385.75,385.75,,
4/30/2010,382.5,385,385.75,384.5,,
5/3/2010,383,384.25,385,384,,
5/4/2010,383.5,385,385.25,384.75,,
5/5/2010,385.5,385.25,387,385.25,,
5/6/2010,386.5,386.75,388.5,386.75,,
5/7/2010,386.5,388.25,388.25,388.25,,
5/10/2010,388,388.75,389.5,388.25,,
5/11/2010,388,389.75,390.5,388.75,,
5/12/2010,387.5,389.75,390.25,388.75,,
